"feature","coef"
"f_insc",-1.23793238084581
"f_unins",0.480160441519022
"f_hispanx",0.399592016259196
"f_inscov",-0.178765768938878
"f_racethx",-0.172310987432526
"f_sex",0.167033529445366
"f_asthdx",-0.143569681919479
"f_rthlth1",0.104623978393333
"f_actlim1",-0.0962540225288325
"f_rthlth2",0.0925231223085062
"f_racev1x",0.0819318511005518
"f_ohrtdx",-0.0744403813397712
"f_addaya2",-0.0668093148527703
"f_chddx",-0.0623849999491616
"f_wlklim1",-0.0510961057265418
"f_midx",-0.0341998722919618
"f_adgenh2",0.0217988884515576
"f_aidhlp1",-0.0208160671021029
"f_obtotv",0.0192544434755129
"f_age",0.0184937111265811
"f_rxtot",0.0166922312022865
"f_opdrv",0.0111977875508939
"f_arthdx",-0.00372208587736096
"f_hhagd",0.00369017493096116
"f_optotv",0.00329112146746933
"f_obdrv",0.00254063779340967
"f_hhtotd",0.00174355649163008
"f_ipngtd",-0.00113140771827728
"f_povcat",-0.000787234634338233
"f_povlev",0.00078659610611071
"f_totslf",4.18284264522756e-05
"f_totexp",2.13609052781355e-05
"f_faminc",-3.19216121485026e-06
"f_ttlp",-1.2059104924305e-07
