"feature","coef"
"f_insc",-5.72226319579734
"f_priog",0.336319978841347
"f_adlhlp1",-0.301147140801863
"f_pring",0.300130101946752
"f_asthdx",-0.282193110611041
"f_prstx",0.274310890382228
"f_haveus2",-0.190020517159461
"f_midx",-0.189306023416357
"f_prvev",-0.185645772531706
"f_ohrtdx",-0.178762519322165
"f_strkdx",-0.177670375012735
"f_cancer",-0.16513200673238
"f_chddx",-0.164381870843686
"f_ins",-0.164195936608193
"f_inscov",-0.161466601320766
"f_aidhlp1",-0.155344595872314
"f_iadlhp1",0.138905786247591
"f_rthlth1",0.127878420282725
"f_sex",0.124907773094842
"f_hispanx",0.121549753656164
"f_arthdx",-0.119876377953005
"f_ertot",0.109859892513381
"f_actlim1",-0.108409934891451
"f_rthlth2",0.0995608762087081
"f_addaya2",-0.0930970154098088
"f_famsze",-0.091174164821906
"f_trich",0.0797984053897911
"f_coglim1",0.0787470676695036
"f_ipdis",-0.0779527131279125
"f_ruclas",0.0711938878541214
"f_soclim1",0.0708452910047866
"f_pridk",-0.0643947076946249
"f_marry",-0.0639893396585022
"f_foodst",-0.0630444437564535
"f_mcrev",-0.0580967858829304
"f_unins",0.0493471989426529
"f_famrfp",0.0488453330676491
"f_wlklim1",-0.0416325593690703
"f_emphdx",-0.0408156885723458
"f_opdrv",0.0361232324220884
"f_dvtot",0.0358079043725033
"f_adgenh2",0.0287927966097211
"f_marr",0.0285736685756636
"f_mnhlth2",0.0272350827113423
"f_racethx",-0.0238701604162366
"f_obtotv",0.0222395918077036
"f_hibpdx",-0.0218532529553123
"f_rxtot",0.0167802344895792
"f_prvhmo",0.016775782668102
"f_region",-0.0164095069638091
"f_ipngtd",-0.0121991272096838
"f_age",0.00988278854577665
"f_insurc",-0.00930969299011171
"f_optotv",0.00925218081333804
"f_povcat",0.00740740242642877
"f_hhagd",0.00614603886553388
"f_obdrv",0.00533296160302955
"f_pmdins",-0.00341846357898661
"f_hhtotd",0.00306645986987008
"f_wilfil",0.000887469122414825
"f_povlev",0.000232548430413762
"f_totslf",2.7101119718388e-05
"f_totexp",1.86439805223985e-05
"f_ttlp",9.11821329063592e-08
