"cohort","n_unweighted","weighted_pop_avg_annual","top_decile_rate","age_mean","female_pct","hispanic_pct","nhwhite_pct","nhblack_pct","nhasian_pct","private_ins_pct","public_only_pct","uninsured_pct","poor_nearpoor_pct","high_income_pct","prior_totexp_median","prior_rxfills_mean"
"Train (P21-23, 2016-19)",44225,329652966,0.1,38.6,0.5098,0.1835,0.5978,0.1228,0.0588,0.6669,0.2633,0.0699,0.1734,0.3984,1095,9.5
"Validation (P26-27, 2021-23)",15033,337810308,0.1,39.4,0.5064,0.1937,0.5774,0.1243,0.0634,0.647,0.285,0.068,0.163,0.4281,1392,8.4
